time,1,2,3,4,5,6,7,8,9
85,9.472658498,8.207556244,7.532477369,6.782407783,5.263881733,3.489114121,1.856062266,0.894763307,0.128749258
86,9.498283736,8.212263269,7.415486673,6.529462509,5.004974567,3.448092768,1.718652846,0.742242702,0.050435688
87,9.69364558,8.337018403,7.598603105,6.764494505,5.215525936,3.532143932,1.841094623,0.755119143,0.008809127
88,9.643531732,8.260269341,7.475133147,6.641403466,4.979781534,3.237300418,1.949019936,0.931514176,-0.018392076
89,9.901928952,8.390539642,7.61124643,6.797485427,5.226075256,3.319571391,1.731736264,0.590307167,-0.238961249
90,9.919650361,8.40975693,7.733024024,6.97270999,4.867824997,2.484205461,1.244958058,0.353540837,-0.260189668
91,9.821854019,8.530974924,7.890660314,7.138067601,4.691715589,2.182980788,0.955186769,0.158848149,-0.348689062
92,9.849879285,8.546652388,7.926967151,7.216424231,4.899709044,2.243865571,0.943986165,0.094616905,-0.356730643
93,9.464397354,8.277548622,7.684593148,6.438644074,4.093417881,1.810211455,0.739477456,0.1496354,-0.27035847
94,10.03050123,8.533392564,7.951438239,7.192799902,4.667523523,2.469750341,1.647398808,1.105634325,0.661211133
95,10.14678562,8.68566051,8.099673036,7.538876527,5.972996484,3.974848654,2.363206511,1.356298735,0.540095335
96,9.842755481,8.526471658,8.003717437,7.527279179,6.280905831,4.183102926,2.540070162,1.53054794,0.855139218
97,9.542717183,8.391175346,8.012364195,7.522709849,6.442101094,4.655645173,3.065427612,1.916043295,0.958708385
98,9.464764212,8.416468951,7.985021671,7.428386398,6.283511763,4.578494865,3.198434904,2.054174432,1.192000044
99,9.674123097,8.503328989,8.074934246,7.546393783,6.164122751,4.226057803,2.917837887,1.887537932,1.149775618
100,9.495124197,8.321886696,7.920523556,7.241421767,5.61318053,4.20658387,2.859692629,1.847547115,1.295995259
101,9.839712289,8.372375049,7.813448214,7.342847262,6.057313097,3.933562792,2.936216405,2.132280149,1.339949825
102,10.22040912,8.600874306,7.91104536,7.300152054,5.838697542,4.082002075,3.023765014,2.149267048,1.099502141
103,9.799347635,8.507654574,7.867953604,7.397096661,6.230239617,4.355555401,2.551438933,1.323321063,0.475686672
104,9.610669237,8.349386086,7.755450085,7.09338753,5.184458721,3.434505383,2.481066096,1.69428762,0.958545514
105,9.628120227,8.512397035,7.959542064,7.390403714,5.101072806,2.743056135,2.139893989,1.580178774,0.789558785
106,9.499996513,8.247930657,7.712037067,7.294985703,5.424530291,3.053549983,2.270360358,1.574631782,0.911033328
107,9.486655967,8.20060843,7.487897527,6.799453343,5.384051712,3.679680027,2.489162173,1.648883707,1.104041021
108,9.316291484,8.203161822,7.712232593,7.171542768,5.489489193,3.492024256,2.093740268,1.060823757,0.334510767
109,9.5600936,8.320627034,7.843470691,7.30739406,5.691363006,3.529553647,2.040010512,0.692824769,-0.035755638
110,9.58412834,8.256826196,7.600768519,6.688066529,4.613346167,2.909572248,1.582107202,0.640496078,0.087676562
111,10.01335173,8.535125782,7.800696672,6.581383908,4.796221405,3.326392787,2.02787616,0.914621081,0.081685786
112,9.433277467,8.196851456,7.717825915,7.169362179,5.749911355,3.697907348,1.969946874,0.935226,0.181041745
113,9.198798862,8.070622797,7.470368391,6.320303807,4.399985352,2.748112735,1.85845609,1.003091794,0.289852236
114,9.696966092,8.346261329,7.721388306,6.759792488,5.066415606,3.333900371,2.195395135,1.346775556,0.631342729
115,9.68947991,8.34005379,7.718413568,6.97819234,5.040607808,3.553919516,2.481003586,1.601710096,0.893086407
116,9.129888347,8.054029583,7.521576785,6.641058488,5.059797275,3.768862146,2.842629861,1.851380536,0.762518127
117,9.669500378,8.389187882,7.766039561,6.25182274,4.370890817,2.95274166,2.116295739,1.583926237,1.082043065
